Protocol,Label,Id,EOA_CA
Convex,Booster,0xF403C135812408BFbE8713b5A23a04b3D48AAE31,CA
Convex,Voter Proxy,0x989AEb4d175e16225E39E87d0D97A3360524AD80,CA
Convex,CVX,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,CA
Convex,cvxCRV,0x62B9c7356A2Dc64a1969e19C23e4f579F9810Aa7,CA
Convex,CRV Depositor,0x8014595F2AB54cD7c604B00E9fb932176fDc86Ae,CA
Convex,Reward Factory,0xEdCCB35798fae4925718A43cc608aE136208aa8D,CA
Convex,Token Factory,0x3c995e43E6ddD551E226F4c5544C77BfeD147aB9,CA
Convex,Stash Factory,0x877288c4e6EbA4f635bA7428706447353B47De75,CA
Convex,CVX Rewards,0xCF50b810E57Ac33B91dCF525C6ddd9881B139332,CA
Convex,cvxCRV Rewards,0x3Fe65692bfCD0e6CF84cB1E7d24108E434A7587e,CA
Convex,Pool Manager,0x3b2D30734491AD77880d31e8aFe2A4d8aC135a9C,CA
Convex,Arbitrator Vault,0x25E12482a25CF36EC70fDA2A09C1ED077Fc21616,CA
Convex,Convex MasterChef,0x5F465e9fcfFc217c5849906216581a657cd60605,CA
Convex,Vested Escrow,0xe98984aD858075813AdA4261aF47e68A64E28fCC,CA
Convex,Airdrop Factory,0xa1Bc2Cf69D474b39B91665e24E7f2606Ed142991,CA
Convex,Airdrop Factory,0x2E088A0A19dda628B4304301d1EA70b114e4AcCd,CA
Convex,Claim Zap,0x8cB38a75eCd8572Af23a8D086e9bda96ca521889,CA
Convex,CVX/ETH SLP,0x05767d9EF41dC40689678fFca0608878fb3dE906,CA
Convex,cvxCRV/CRV SLP,0x33F6DDAEa2a8a54062E021873bCaEE006CdF4007,CA
Convex,Convex Multisig,0xa3C5A1e09150B75ff251c1a7815A07182c3de2FB,CA
Convex,Convex Deployer,0x947B7742C403f20e5FaCcDAc5E092C943E7D0277,EOA
Convex,Treasury Vault,0x1389388d01708118b497f59521f6943Be2541bb7,CA
